EM_ColName,TB_ColName,Keep
Project,project,N
Blast pseudo-score,blastPseudoScore,Y
Identification,identification,Y
Superkingdom (BLASTn),superkingdomBLASTn,Y
Kingdom (BLASTn),kingdomBLASTn,Y
Phylum (BLASTn),phylumBLASTn,Y
Subphylum (BLASTn),subphylumBLASTn,Y
Class (BLASTn),classBLASTn,Y
Subclass (BLASTn),subclassBLASTn,Y
Order (BLASTn),order_BLASTn,Y
Suborder (BLASTn),suborderBLASTn,Y
Family (BLASTn),familyBLASTn,Y
Subfamily (BLASTn),subfamilyBLASTn,Y
Genus (BLASTn),genusBLASTn,Y
Possible bacteria,possibleBacteria,Y
Primer,primer,Y
Sample,sample,Y
Primer name,primerName,Y
File_name,fileName,Y
Read origin,readOrigin,Y
Relative abundance to all samples,relativeAbundanceALLSample,Y
Relative abundance on sample,relativeAbundanceOnSample,Y
Sample total abundance,sampleTotalAbd,Y
ASV absolute abundance,asvAbsoluteAbundance,Y
metadata_1,metadata_1,Y
metadata_2,metadata_2,Y
metadata_3,metadata_3,Y
metadata_4,metadata_4,Y
metadata_5,metadata_5,Y
obs,obs,Y
Curated ID,curatedID,Y
Final ID,finalID,Y
BLAST ID,blastID,Y
blast ID Origin,blastIDOrigin,Y
Remove,remove,Y
ASV Size (pb),ASVSize,Y
ASV header,ASVHeader,Y
ASV (Sequence),ASVSequence,Y
OTU,OTU,Y
PCR control,PCRControl,Y
Prop. to PCR control,propToPCRControl,Y
Prop. to Ext control,propToExtControl,Y
Prop. to Filt control,propToFiltControl,Y
Possible contamination,possibleContamination,Y
Primer expected length,primerExpectedLength,Y
Type,type,Y
max_tax,max_tax,Y
1_subject header,B1_subjectHeader,N
1_subject,B1_subject,N
1_indentity,B1_identity,N
1_qcovhsp,B1_qcovhsp,N
1_length,B1_length,N
1_mismatches,B1_mismatches,N
1_gaps,B1_gaps,N
1_query start,B1_queryStart,N
1_query end,B1_queryEnd,N
1_subject start,B1_subjectStart,N
1_subject end,B1_subjectEnd,N
1_e-value,B1_eValue,N
1_bitscore,B1_bitscore,N
2_subject header,B2_subjectHeader,N
2_subject,B2_subject,N
2_indentity,B2_indentity,N
2_qcovhsp,B2_qcovhsp,N
2_length,B2_length,N
2_mismatches,B2_mismatches,N
2_gaps,B2_gaps,N
2_query start,B2_queryStart,N
2_query end,B2_queryEnd,N
2_subject start,B2_subjectStart,N
2_subject end,B2_subjectEnd,N
2_e-value,B2_eValue,N
2_bitscore,B2_bitscore,N
3_subject header,B3_subjectHeader,N
3_subject,B3_subject,N
3_indentity,B3_indentity,N
3_qcovhsp,B3_qcovhsp,N
3_length,B3_length,N
3_mismatches,B3_mismatches,N
3_gaps,B3_gaps,N
3_query start,B3_queryStart,N
3_query end,B3_queryEnd,N
3_subject start,B3_subjectStart,N
3_subject end,B3_subjectEnd,N
3_e-value,B3_eValue,N
3_bitscore,B3_bitscore,N
