N,storage,paired,farmPerson,farmName,farmNumber,BP_Treatment,treatment,EM-ID,replicateNumber,replicateLetter,farmReplicate,EM_IDRepl,EM_Sample,sampleID,replSampleID,shortSampleID,dnaConcentration,dnaPurity,lowReads
1,Silica,N,Edmundo,Farm 1,1,Juquira,Succession,EM110-01,1,A,01A,EM110_01A,EM110-01A-R1,Farm1-Succession-01A-Silica,Farm1-Succession-1,Farm1-Succession,16.8,1.9,N
2,Silica,N,Edmundo,Farm 1,1,Juquira,Succession,EM110-01,2,B,01B,EM110_01B,EM110-01B-R1,Farm1-Succession-01B-Silica,Farm1-Succession-2,Farm1-Succession,15.4,1.8,N
3,Silica,N,Edmundo,Farm 1,1,Juquira,Succession,EM110-01,3,C,01C,EM110_01C,EM110-01C-R1,Farm1-Succession-01C-Silica,Farm1-Succession-3,Farm1-Succession,18.6,1.8,N
4,Silica,N,Everaldo,Farm 2,2,Floresta,Forest,EM110-02,1,A,02A,EM110_02A,EM110-02A-R1,Farm2-Forest-02A-Silica,Farm2-Forest-1,Farm2-Forest,43.5,1.6,N
5,Silica,N,Everaldo,Farm 2,2,Floresta,Forest,EM110-02,2,B,02B,EM110_02B,EM110-02B-R1,Farm2-Forest-02B-Silica,Farm2-Forest-2,Farm2-Forest,9.1,1.8,N
6,Silica,N,Everaldo,Farm 2,2,Floresta,Forest,EM110-02,3,C,02C,EM110_02C,EM110-02C-R1,Farm2-Forest-02C-Silica,Farm2-Forest-3,Farm2-Forest,41.1,1.6,N
7,Silica,N,Everaldo,Farm 2,2,Juquira,Succession,EM110-03,1,A,03A,EM110_03A,EM110-03A-R1,Farm2-Succession-03A-Silica,Farm2-Succession-1,Farm2-Succession,11.5,1.9,N
8,Silica,N,Everaldo,Farm 2,2,Juquira,Succession,EM110-03,2,B,03B,EM110_03B,EM110-03B-R1,Farm2-Succession-03B-Silica,Farm2-Succession-2,Farm2-Succession,14.2,1.7,N
9,Silica,N,Everaldo,Farm 2,2,Juquira,Succession,EM110-03,3,C,03C,EM110_03C,EM110-03C-R1,Farm2-Succession-03C-Silica,Farm2-Succession-3,Farm2-Succession,13.5,2,N
10,Silica,N,Everaldo,Farm 2,2,Pasto,Pasture,EM110-04,1,A,04A,EM110_04A,EM110-04A-R1,Farm2-Pasture-04A-Silica,Farm2-Pasture-1,Farm2-Pasture,12,1.8,N
