N,Storage,Site (1.5L Each),Replicate,Replicate Vol.,EcoMol ID,[ng/?L],A260/A280
1,Silica,Intervention / syntropic,1,40 mL,EM91S_Sy1,33.9,1.6
2,Silica,Intervention / syntropic,2,40 mL,EM91S_Sy2,20,1.6
3,Silica,Intervention / syntropic,3,40 mL,EM91S_Sy3,6.5,1.8
4,Silica,Floresta / control,1,40 mL,EM91S_Co1,7.6,1.9
5,Silica,Floresta / control,2,40 mL,EM91S_Co2,9.8,1.8
6,Silica,Floresta / control,3,40 mL,EM91S_Co3,8.5,1.7
7,Silica,Vizinho / Counterfactual,1,40 mL,EM91S_CF1,16.6,1.7
8,Silica,Vizinho / Counterfactual,2,40 mL,EM91S_CF2,30.5,1.6
9,Silica,Vizinho / Counterfactual,3,40 mL,EM91S_CF3,11.5,1.9
10,Silica,Restauration,1,40 mL,EM91S_Re1,7.1,1.8
11,Silica,Restauration,2,40 mL,EM91S_Re2,14.2,1.6
12,Silica,Restauration,3,40 mL,EM91S_Re3,6.9,1.5
13,Buffer,Intervention / syntropic,1,40 mL,EM91b_Sy1,44.3,1.7
14,Buffer,Intervention / syntropic,2,40 mL,EM91b_Sy2,42.8,1.7
15,Buffer,Intervention / syntropic,3,40 mL,EM91b_Sy3,30.4,1.6
16,Buffer,Floresta / control,1,40 mL,EM91b_Co1,39.7,1.7
17,Buffer,Floresta / control,2,40 mL,EM91b_Co2,38.1,1.7
18,Buffer,Floresta / control,3,40 mL,EM91b_Co3,38.5,1.7
19,Buffer,Vizinho / Counterfactual,1,40 mL,EM91b_Cf1,47.5,1.6
20,Buffer,Vizinho / Counterfactual,2,40 mL,EM91b_Cf2,45,1.6
21,Buffer,Vizinho / Counterfactual,3,40 mL,EM91b_Cf3,40.5,1.6
22,Buffer,Restauration,1,40 mL,EM91b_Re1,77.1,1.5
23,Buffer,Restauration,2,40 mL,EM91b_Re2,59.4,1.6
24,Buffer,Restauration,3,40 mL,EM91b_Re3,61.4,1.6
