Unique_File_name,Raw reads (R1),Raw reads (R2),Raw reads (pairs),Paired reads (pairs),Denoised (R1),Denoised (R2),Merged,Non-chimeric Merged,Primer,Project,Researcher
EM135c2-3-I-R3,31214,31214,31214,31212,27453,27190,25708,25625,COI_R1,EM135_CIAT,CIAT
EM135c2-3-I-R2,33533,33533,33533,33532,29799,29498,27706,27544,COI_R1,EM135_CIAT,CIAT
EM135c2-3-I-R1,36816,36816,36816,36815,32675,32381,30859,30780,COI_R1,EM135_CIAT,CIAT
EM135c2-3-F-R3,53886,53886,53886,53884,50826,50540,48902,48776,COI_R1,EM135_CIAT,CIAT
EM135c2-3-F-R2,20817,20817,20817,20816,19006,18834,18203,18157,COI_R1,EM135_CIAT,CIAT
EM135c2-3-F-R1,13257,13257,13257,13257,11908,11863,11337,11331,COI_R1,EM135_CIAT,CIAT
EM135c2-3-CF-R3,40554,40554,40554,40552,36416,36344,34558,34199,COI_R1,EM135_CIAT,CIAT
EM135c2-3-CF-R2,29092,29092,29092,29091,24735,24318,22989,22899,COI_R1,EM135_CIAT,CIAT
EM135c2-3-CF-R1,28295,28295,28295,28294,23631,23732,21984,21843,COI_R1,EM135_CIAT,CIAT
EM135c2-2-I-R3,26349,26349,26349,26349,23155,22816,21594,21524,COI_R1,EM135_CIAT,CIAT
EM135c2-2-I-R2,39073,39073,39073,39073,35196,34829,33314,33208,COI_R1,EM135_CIAT,CIAT
EM135c2-2-I-R1,34517,34517,34517,34516,30599,30411,28755,28682,COI_R1,EM135_CIAT,CIAT
EM135c2-2-F-R3,66094,66094,66094,66093,63311,63041,61862,61728,COI_R1,EM135_CIAT,CIAT
EM135c2-2-F-R2,55090,55090,55090,55090,52505,52301,50860,50242,COI_R1,EM135_CIAT,CIAT
EM135c2-2-F-R1,56842,56842,56842,56842,53787,53552,51890,51486,COI_R1,EM135_CIAT,CIAT
EM135c2-2-CF-R3,29970,29970,29970,29970,26074,25907,24740,24587,COI_R1,EM135_CIAT,CIAT
EM135c2-2-CF-R2,24770,24770,24770,24769,21488,21364,20329,20271,COI_R1,EM135_CIAT,CIAT
EM135c2-2-CF-R1,30210,30210,30210,30210,25867,25681,24384,24328,COI_R1,EM135_CIAT,CIAT
EM135c2-1-I-R3,33381,33381,33381,33381,29635,29431,28098,28042,COI_R1,EM135_CIAT,CIAT
EM135c2-1-I-R2,31508,31508,31508,31508,27375,26985,25610,25589,COI_R1,EM135_CIAT,CIAT
EM135c2-1-I-R1,35514,35514,35514,35514,31141,30806,29029,28993,COI_R1,EM135_CIAT,CIAT
EM135c2-1-F-R3,60625,60625,60625,60625,56861,56553,54843,54733,COI_R1,EM135_CIAT,CIAT
EM135c2-1-F-R2,54013,54013,54013,54013,49849,49628,47415,47199,COI_R1,EM135_CIAT,CIAT
EM135c2-1-F-R1,40608,40608,40608,40608,37060,36818,35603,35437,COI_R1,EM135_CIAT,CIAT
EM135c2-1-CF-R3,41487,41487,41487,41487,35944,35693,33364,33318,COI_R1,EM135_CIAT,CIAT
EM135c2-1-CF-R2,33489,33489,33489,33488,27485,27168,24954,24907,COI_R1,EM135_CIAT,CIAT
EM135c2-1-CF-R1,42966,42966,42966,42966,36910,36668,34429,34399,COI_R1,EM135_CIAT,CIAT
EM135c1-V3,26700,26700,26700,26699,22996,22862,21384,21286,COI_R1,EM135_CIAT,CIAT
EM135c1-V2,95001,95001,95001,94995,87704,86992,81187,80541,COI_R1,EM135_CIAT,CIAT
EM135c1-V1,27797,27797,27797,27796,23500,23276,21402,21259,COI_R1,EM135_CIAT,CIAT
EM135c1-S3,36144,36144,36144,36144,30704,30505,27835,27566,COI_R1,EM135_CIAT,CIAT
EM135c1-S2,35654,35654,35654,35651,30051,29837,26424,26016,COI_R1,EM135_CIAT,CIAT
EM135c1-S1,41498,41498,41498,41491,35587,35171,32518,32309,COI_R1,EM135_CIAT,CIAT
EM135c1-R3,51359,51359,51359,51359,47168,46697,44118,43994,COI_R1,EM135_CIAT,CIAT
EM135c1-R2,53927,53927,53927,53927,49627,49235,47061,46824,COI_R1,EM135_CIAT,CIAT
EM135c1-R1,55751,55751,55751,55751,52108,51718,50014,49719,COI_R1,EM135_CIAT,CIAT
EM135c1-Floresta-12SV5,63323,63323,63323,63284,60674,60677,59465,54435,12SV5,EM135_CIAT,CIAT
EM135c1-F3,47485,47485,47485,47482,43320,42979,40665,40562,COI_R1,EM135_CIAT,CIAT
EM135c1-F2,40387,40387,40387,40387,36633,36423,34136,33964,COI_R1,EM135_CIAT,CIAT
EM135c1-F1,44879,44879,44879,44878,41586,41378,39499,39393,COI_R1,EM135_CIAT,CIAT
