system:index,"0,0","0,1","1,0","1,1",2017_standAge,2018_standAge,2019_standAge,2020_standAge,2021_standAge,Forest degradation 2017-2021,Forest gain 2017-2021,Forest in 2021,Forest loss 2017-2021,Notes,Permanent land cover conversion to non-forest 2017-2021,analysis_duration,collection_time,dist,email,establishment year,flagged,gain,imagery_title,lat,lon,pl_horta_gain_results,pl_horta_results,pl_sampleid,plotid,sampleid,.geo
00000000000000000000_0,1,0,0,0,47,48,49,50,51,false,false,true,false,forest started somewhere between 85 and 2000,No,775.9 secs,11/22/22 21:19,1,apnicolau@sig-gis.com,2000,false,0,Planet NICFI Public,-1.187489311,-48.08917531,0,1,0,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,1,0,0,0,10,11,12,13,14,false,false,true,false,"disturbance between 2000 and 2010. in 2010 there is nothing, then some trees in 2012",No,65870.1 secs,11/24/22 13:18,1,ovidio.rivera@gmail.com,2010,false,0,Planet NICFI Public,-1.190368914,-48.08981846,0,4,2,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,1,0,0,0,47,48,49,1,2,false,false,true,false,,No,901.4 secs,11/24/22 13:33,1,ovidio.rivera@gmail.com,1969,false,0,Planet NICFI Public,-1.19399675,-48.08967203,0,4,3,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,1,0,0,0,8,9,10,11,12,false,false,true,false,,No,1510.0 secs,11/24/22 13:58,1,ovidio.rivera@gmail.com,1969,false,0,Planet NICFI Public,-1.194714585,-48.08779148,0,1,4,4,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,1,0,0,0,7,8,9,10,11,false,false,true,false,"palm until 2000 then next image available in 2010 is forest. from landsat time series (geodash), some transition (disturbance) seems to have happened in 2006. maybe in 2001 although not visible in landsat images. to be conservative I'm keeping it 2006",No,89762.8 secs,11/25/22 14:54,1,ovidio.rivera@gmail.com,2006,false,0,Planet NICFI Public,-1.192594973,-48.0893361,0,1,5,5,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,1,0,0,0,9,10,11,12,13,false,false,true,false,disturbance in 2008,No,528.7 secs,11/24/22 22:56,1,s.castano@cgiar.org,2008,false,0,Mapbox Satellite w/ Labels,-1.195676719,-48.08724957,0,1,6,6,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,1,0,0,0,47,48,49,50,51,false,false,true,false,assuming it is a similar case of plot 5,No,176.8 secs,11/25/22 13:58,1,s.castano@cgiar.org,2006,false,0,Mapbox Satellite,-1.190691349,-48.08779581,0,1,20,20,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,1,0,0,0,13,14,15,16,17,false,false,true,false,similar to plot 5 but transition/disturbance seemed to happen in 2005,No,6328.0 secs,11/25/22 15:43,1,s.castano@cgiar.org,2005,false,0,Mapbox Satellite,-1.188936658,-48.09051263,0,1,21,21,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,1,0,0,0,9,10,11,12,13,false,false,true,false,from geodash it seems disturbance happened in 2008,No,11494.5 secs,11/25/22 18:51,1,ovidio.rivera@gmail.com,2008,false,0,Planet NICFI Public,-1.194343985,-48.08729523,0,4,24,24,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,1,0,0,0,47,48,49,50,51,false,false,true,false,from geodash it seems some disturbance happened in 1992,No,409.9 secs,11/25/22 15:50,1,s.castano@cgiar.org,1992,false,0,Mapbox Satellite,-1.191324856,-48.08698584,0,4,25,25,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,1,0,0,0,7,8,9,10,11,false,false,true,false,"plantation in 2000, time series drop 2005",No,9434.5 secs,11/25/22 20:17,1,s.castano@cgiar.org,2005,false,0,Mapbox Satellite,-1.192259838,-48.08914766,0,1,29,29,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,1,0,0,0,10,11,12,13,14,false,false,true,false,medium confidence,No,560.1 secs,11/25/22 19:01,1,ovidio.rivera@gmail.com,2010,false,0,Planet NICFI Public,-1.187544692,-48.08763183,0,1,30,30,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,1,0,0,0,9,10,11,12,13,false,false,true,false,fire over most of plot,No,2047.8 secs,11/25/22 19:35,1,ovidio.rivera@gmail.com,2008,false,0,Planet NICFI Public,-1.194253128,-48.08765243,0,1,31,31,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,1,0,0,0,47,48,49,50,1,false,false,true,false,"low confidence, looks like plantation sometime before 2000",No,6756.8 secs,11/28/22 15:25,1,ovidio.rivera@gmail.com,2000,false,0,Planet NICFI Public,-1.189901511,-48.08738887,0,1,32,32,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,1,0,0,0,10,11,12,13,14,false,false,true,false,,No,408.5 secs,11/25/22 20:28,1,s.castano@cgiar.org,2010,false,0,Mapbox Satellite,-1.188459791,-48.08758912,0,1,34,34,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,1,0,0,0,9,10,11,12,13,false,false,true,false,"cut, recovering by 2009",No,1080.4 secs,11/25/22 20:46,1,s.castano@cgiar.org,2008,false,0,Mapbox Satellite,-1.194984084,-48.08794149,0,1,35,35,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0,1,0,0,0,47,48,49,50,51,false,false,true,false,plantation disturbance?,No,759.2 secs,11/28/22 15:42,1,jhoanse@gmail.com,1985,false,0,Planet NICFI Public,-1.189720934,-48.08804666,0,1,39,39,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,1,0,0,0,8,9,10,11,12,false,false,true,false,evident disturbance 12/1969,No,287.7 secs,11/28/22 15:30,1,ovidio.rivera@gmail.com,1970,false,0,Planet NICFI Public,-1.19065413,-48.08735331,0,1,40,40,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0,1,0,0,0,47,48,49,50,51,false,false,true,false,edge of plantation,No,562.6 secs,11/28/22 15:51,1,jhoanse@gmail.com,1969,false,0,Planet NICFI Public,-1.19156284,-48.08712494,0,1,41,41,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0,1,0,0,0,11,12,13,14,15,false,false,true,false,post plantation,No,508.0 secs,11/28/22 15:56,1,ovidio.rivera@gmail.com,2006,false,0,Planet NICFI Public,-1.193247458,-48.08988493,0,1,42,42,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,1,0,0,0,47,48,49,50,51,false,false,true,false,,No,198.0 secs,11/28/22 15:55,1,jhoanse@gmail.com,1969,false,0,Planet NICFI Public,-1.194171802,-48.08978236,0,1,43,43,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,1,0,0,0,9,10,11,12,13,false,false,true,false,starts recovery in last month o 2008 or 2009,No,2409.0 secs,11/28/22 16:36,1,ovidio.rivera@gmail.com,2008,false,0,Planet NICFI Public,-1.195673253,-48.08763508,0,1,45,45,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0,1,0,0,0,47,48,49,50,51,false,false,true,false,post plantation,No,12492.8 secs,11/28/22 20:04,1,ovidio.rivera@gmail.com,2009,false,0,Planet NICFI Public,-1.189647928,-48.08849192,0,1,46,46,46,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0,1,0,0,0,47,48,49,50,51,false,false,true,false,,No,2017.0 secs,11/28/22 19:37,1,jhoanse@gmail.com,1969,false,0,Mapbox Satellite,-1.195245139,-48.08887526,0,4,47,47,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0,1,0,0,0,12,13,14,15,16,false,false,true,false,"post plantation, could be as early as 2006",No,80863.1 secs,11/29/22 18:32,1,ovidio.rivera@gmail.com,2010,false,0,Planet NICFI Public,-1.192475815,-48.08884553,0,1,49,49,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046_0,1,0,0,0,8,9,10,11,12,false,false,true,false,"medium confidence, could be partailly plantation in 2010",No,371.5 secs,11/29/22 0:14,1,s.castano@cgiar.org,1969,false,0,Planet NICFI Public,-1.190713168,-48.08751678,0,1,70,70,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,1,0,0,0,47,48,49,50,51,false,false,true,false,"decision made based on GE Pro, loss just before 2000, partial loss again in 2014",No,83.8 secs,11/29/22 18:03,1,apnicolau@sig-gis.com,2000,false,0,Planet NICFI Public,-1.187476091,-48.09030223,0,1,79,79,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,1,0,0,0,0,0,0,0,0,false,false,true,false,"not in CEO, confirmed with GE Pro, maybe partial disturbance 1969",No,118.2 secs,11/30/22 10:49,1,apnicolau@sig-gis.com,1969,false,0,Planet NICFI Public,-1.188875363,-48.08713157,0,3,81,81,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,1,0,0,0,47,48,49,50,51,true,false,true,false,,No,87.1 secs,11/25/22 17:39,2,s.castano@cgiar.org,,false,0,Mapbox Satellite,-1.19591081,-48.0896454,0,4,9,9,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0,1,0,0,0,47,48,49,50,51,true,false,true,false,Check for possible degradation at the pixel edge,No,1525.8 secs,11/29/22 20:14,2,jhoanse@gmail.com,,false,0,Planet NICFI Public,-1.195812221,-48.08970219,0,3,48,48,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0,1,0,0,0,1,2,3,4,5,true,false,true,false,,No,280.6 secs,11/28/22 22:18,2,s.castano@cgiar.org,,false,0,Planet NICFI Public,-1.191621761,-48.08933714,0,4,52,52,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,1,0,0,0,47,48,49,1,2,true,false,true,false,confirmed with GE Pro. Probably marked as disturbance because it is edge effect.,No,159.5 secs,11/30/22 11:05,2,apnicolau@sig-gis.com,,false,0,Planet NICFI Public,-1.191570309,-48.08767056,0,2,85,85,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,1,0,0,0,47,48,49,50,51,true,false,true,false,border effect,No,201.6 secs,11/30/22 11:09,2,apnicolau@sig-gis.com,,false,0,Planet NICFI Public,-1.195882222,-48.08982652,0,3,86,86,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,1,0,0,0,47,48,49,50,51,true,false,true,false,border effect,No,59.1 secs,11/30/22 11:10,2,apnicolau@sig-gis.com,,false,0,Planet NICFI Public,-1.195882222,-48.08901803,0,3,87,87,87,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,1,0,0,0,1,2,3,4,5,false,false,false,true,confirmed with GE Pro,Yes,136.7 secs,11/30/22 10:58,3,apnicolau@sig-gis.com,,false,0,Planet NICFI Public,-1.190761825,-48.08874854,0,3,83,83,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,0,0,0,1,1,2,3,4,5,false,true,false,true,confirmed with GE Pro,Yes,304.3 secs,11/30/22 11:03,3,apnicolau@sig-gis.com,,false,1,Mapbox Satellite,-1.191031319,-48.08847904,1,3,84,84,84,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,0,0,0,1,1,2,3,4,5,false,true,false,false,,Not Applicable - always nonforest,707.5 secs,11/24/22 23:08,4,s.castano@cgiar.org,,false,1,Mapbox Satellite w/ Labels,-1.190432161,-48.08917194,1,4,7,7,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,1,0,0,0,9,10,11,12,13,false,false,false,false,,Not Applicable - always nonforest,391.9 secs,11/25/22 0:25,4,s.castano@cgiar.org,,false,0,Mapbox Satellite,-1.193847576,-48.08681902,0,4,12,12,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0,1,0,0,0,1,2,3,4,5,false,false,false,false,,Not Applicable - always nonforest,244.0 secs,11/28/22 22:51,4,s.castano@cgiar.org,,false,0,Planet NICFI Public,-1.191695836,-48.08794423,0,1,56,56,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0,1,0,0,0,1,2,3,4,5,false,false,false,false,,Not Applicable - always nonforest,413.6 secs,11/28/22 23:23,4,s.castano@cgiar.org,,false,0,Planet NICFI Public,-1.191586327,-48.08805481,0,1,64,64,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,0,0,0,1,12,13,14,15,16,false,true,false,false,decision made based on Google Earth Pro images,Not Applicable - always nonforest,14.2 secs,11/29/22 18:50,4,apnicolau@sig-gis.com,,false,1,Planet NICFI Public,-1.189836645,-48.08991471,1,4,78,78,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
