"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"FRACM.mean.farm",-0.232858636800121,-0.127766611499742,0.0848051262470646,-0.357721048056859,0.692643522886806,0.401715936506508,-0.332338094897852,0.128839053227079,0.161377550258751,0.000716155468303697,-0.00846953742711682,0.00157369795509495
"AREAM.mean.farm",0.176484034109943,-0.629158702842494,-0.060199315554771,-0.19895303551765,-0.184163622649905,0.0838181972383309,0.03067560960397,0.0627379420528487,-0.0549294221078325,-0.693519822947439,-0.000813262645989809,0.000155830613077016
"TOTALAREA.farm",0.130392714245296,-0.695454689951223,-0.00528919617393452,-0.0690653203942601,-0.0828726068466931,-0.0459622631887974,0.0122415628519387,-0.0779433025888815,0.0412388051843956,0.691054380756786,-0.00895090893225064,-0.000438577072427419
"AI.farm",0.359933448897852,0.036790099755558,-0.115944689213922,0.293972922034214,-0.129834859535076,0.0984627288758039,-0.279213254029732,0.665134342015197,0.468643875201427,0.0409922694161167,0.0316470966296301,0.00253585398317385
"COHESION.farm",0.37148629085232,0.0216100077661862,0.0584901584993128,0.0898004812402749,0.283010680479142,0.0413167416204102,0.422069922386476,-0.438418463028631,0.623341984688214,-0.0964264386522103,-0.00490333764175196,-0.00353567865388281
"NUMPAT.farm",-0.212231783533074,-0.253402998731563,0.285864470834717,0.475271143855439,0.340712102589704,-0.626523774070469,-0.210608082113831,0.0116663588008553,0.0524299480337438,-0.163912019039936,0.0204485793335399,0.000772065854164967
"PD.farm",-0.298202280135125,0.0511342498085658,0.287329846325283,-0.260852174240798,-0.490270463584908,-0.0656708069298975,-0.427285082436336,-0.28661407863061,0.495635719215059,-0.0341656441116725,-0.040476554500658,-0.000168140241633337
"EDGE.farm",-0.386132678569525,-0.0466889510749983,0.0143507583757021,-0.158676764515816,-0.0546174185088975,-0.0961680870749565,0.425896210949765,0.286393965666312,0.20600505999868,0.0188476093142069,0.710552713626722,0.0043024543205214
"SHDI.farm",-0.308203063917544,-0.109628132650288,-0.391591711193178,0.36184331605004,-0.0451416985545197,0.250891866433244,-0.0566135515268827,-0.178416469110163,0.0801486581870049,-0.0316674861655426,0.0322425804194013,-0.707269140384243
"ENG.farm",-0.308112319674979,-0.109594367193234,-0.392028074554058,0.361778691462354,-0.0452737827363219,0.250264020575285,-0.0515040944942407,-0.182434539274967,0.0819072194262293,-0.0316060412325087,0.0216760220095711,0.706888695393166
"CONDENT.farm",-0.389881680620811,-0.0534904653003919,-0.030428293991077,-0.0861099016277517,-0.0355604824627248,-0.0930095079944294,0.434747269625415,0.326139383126799,0.202543979812491,0.0083676244712686,-0.700264818482251,-0.00616035223883156
"CONT.mean.farm",0.071262885226727,0.0803688862903552,-0.707002861836323,-0.380611301624469,0.133130546194444,-0.527031053991098,-0.170817558659126,-0.0546618382066471,0.12672284738037,-0.00580505402372627,2.63489553796685e-05,-0.000158866361922365
